ad,tur,sehir,website,logo,adres
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,Devlet,İzmir,http://www.iyte.edu.tr/,assets/img/logo/116207.png,İzmir Yüksek Teknoloji Enstitüsü Gülbahçe Kampüsü Urla/İZMİR
KADİR HAS ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.khas.edu.tr,assets/img/logo/116281.png,"Kadir Has Üniversitesi, Kadir Has Caddesi,
Cibali / İSTANBUL 34083"
KAFKAS ÜNİVERSİTESİ,Devlet,Kars,http://www.kafkas.edu.tr,assets/img/logo/116345.png,Kafkas Üniversitesi Şehitler Mh. Turan Çelik Cd. Kombina Yolu Üzeri Merkez/KARS
KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,Devlet,Kahramanmaraş,https://www.istiklal.edu.tr,assets/img/logo/339994.png,"Kahramanmaraş İstiklal Üniversitesi Rektörlüğü, Menderes Mah. Cumhuriyet Bulvarı 46036 Sokak No:7 46060 Dulkadiroğlu/Kahramanmaraş"
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,Devlet,Kahramanmaraş,https://www.ksu.edu.tr,assets/img/logo/116608.png,"Kahramanmaraş Sütçü İmam Üniversitesi Rektörlüğü,  Avşar Mah. Batı Çevreyolu Blv.  No: 251/A 46040 - Onikişubat/Kahramanmaraş"
KAPADOKYA ÜNİVERSİTESİ,Vakıf,Nevşehir,https://www.kapadokya.edu.tr,assets/img/logo/325756.png,Üniversite Meydanı No:2 Mustafapaşa Ürgüp/Nevşehir
KARABÜK ÜNİVERSİTESİ,Devlet,Karabük,http://www.karabuk.edu.tr/,assets/img/logo/116950.png,Karabük Üniversitesi Demir Çelik Kampüsü Balıklar Kaya Mevkii
KARADENİZ TEKNİK ÜNİVERSİTESİ,Devlet,Trabzon,http://www.ktu.edu.tr,assets/img/logo/117127.png,"Karadeniz Teknik Üniversitesi
61080 - Trabzon"
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,Devlet,Karaman,http://www.kmu.edu.tr,assets/img/logo/117553.png,"Karamanoğlu Mehmetbey Üniversitesi, Yunus Emre Yerleşkesi, 70100 KARAMAN / TÜRKİYE"
KASTAMONU ÜNİVERSİTESİ,Devlet,Kastamonu,http://www.kastamonu.edu.tr/index.php/tr/,assets/img/logo/117673.png,Kastamonu Üniversitesi Rektörlüğü Kuzeykent Kampüsü Merkez/KASTAMONU
KAYSERİ ÜNİVERSİTESİ,Devlet,Kayseri,http://www.kayseri.edu.tr,assets/img/logo/339993.png,Mevlana Mah. 15 Temmuz Yerleşkesi Kümeevler Talas/KAYSERİ
KIRIKKALE ÜNİVERSİTESİ,Devlet,Kırıkkale,http://kku.edu.tr,assets/img/logo/117803.png,Kırıkkale Üniversitesi Ankara Yolu 7. Km 71450 Yahşihan/Kırıkkale
KIRKLARELİ ÜNİVERSİTESİ,Devlet,Kırklareli,http://www.klu.edu.tr/,assets/img/logo/118122.png,"Cumhuriyet Mahallesi Kofcaz Yolu
Kayalı Yerleşkesi Merkez-Kırklareli"
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,Devlet,Kırşehir,https://www.ahievran.edu.tr,assets/img/logo/354265.png,Bağbaşı Mah. Sahir Kurutluoğlu Cad. No: 100 Merkez/KIRŞEHİR
KİLİS 7 ARALIK ÜNİVERSİTESİ,Devlet,Kilis,https://www.kilis.edu.tr,assets/img/logo/118186.png,Mehmet Sanlı Mah. Doğan Güreş Paşa Bulvarı No.134 Merlez/KİLİS
KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,Vakıf,Kocaeli,https://www.kocaelisaglik.edu.tr,assets/img/logo/411763.png,Yeniköy Merkez Mh. Ilıca Cd. No:29 Başiskele/KOCAELİ
KOCAELİ ÜNİVERSİTESİ,Devlet,Kocaeli,http://www.kocaeli.edu.tr/,assets/img/logo/118239.png,Umuttepe Merkez Yerleşkesi 41380 İzmit/KOCAELİ
KOÇ ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.ku.edu.tr,assets/img/logo/118853.png,"Koç Üniversitesi, Rumelifeneri Yolu, 34450, SARIYER, ISTANBUL"
KONYA GIDA VE TARIM ÜNİVERSİTESİ,Vakıf,Konya,http://www.gidatarim.edu.tr/,assets/img/logo/241176.png,Melikşah Mah. Beyşehir Cad. No:9 42080 Meram / KONYA
KONYA TEKNİK ÜNİVERSİTESİ,Devlet,Konya,http://www.ktun.edu.tr/,assets/img/logo/339979.png,Akademi Mah. Yeni İstanbul Cad. No:235/1 Selçuklu/KONYA
KTO KARATAY ÜNİVERSİTESİ,Vakıf,Konya,http://www.karatay.edu.tr,assets/img/logo/166433.png,KTO Karatay Üniversitesi Rektörlüğü Akabe Mah. Alaaddin Kap Cad. No: 130 Karatay/KONYA
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,Devlet,Kütahya,http://dpu.edu.tr,assets/img/logo/351149.png,Kütahya Dumlupınar Üniversitesi Evliya Çelebi Yerleşkesi Tavşanlı Yolu 10. km.     KÜTAHYA
KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,Devlet,Kütahya,http://www.ksbu.edu.tr/,assets/img/logo/339982.png,Alipaşa Mahallesi Fatih Sultan Mehmet Bulvarı No./22 Kütahya Merkez
LOKMAN HEKİM ÜNİVERSİTESİ,Vakıf,Ankara,https://www.lokmanhekim.edu.tr,assets/img/logo/332474.png,Söğütözü Mah. 2179. Cad. No:6 Çankaya Ankara
MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,Devlet,Malatya,https://www.ozal.edu.tr,assets/img/logo/339983.png,Alacakapı Mahallesi Kırkgöz Caddesi No:70 P.K. 44210 Battalgazi / MALATYA
MALTEPE ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.maltepe.edu.tr/,assets/img/logo/118883.png,Maltepe Üniversitesi Marmara Eğitim Köyü PK:34857 MALTEPE İSTANBUL
MANİSA CELÂL BAYAR ÜNİVERSİTESİ,Devlet,Manisa,https://www.cbu.edu.tr,assets/img/logo/315839.png,Şehit Prof. Dr. İlhan Varank Kampüsü 45140 - Yunusemre - MANİSA
MARDİN ARTUKLU ÜNİVERSİTESİ,Devlet,Mardin,http://www.artuklu.edu.tr/,assets/img/logo/118994.png,"Mardin Artuklu Üniversitesi Yenişehir Yerleşkesi, Diyarbakır Yolu
Yenişehir Mardin"
MARMARA ÜNİVERSİTESİ,Devlet,İstanbul,http://www.marmara.edu.tr,assets/img/logo/119094.png,M.Ü.Göztepe Kampüsü Rektörlük Binası 34722 Kadıköy / İSTANBUL
MEF ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.mef.edu.tr,assets/img/logo/215913.png,"Ayazağa Cad. No.4 34396
Maslak - Sarıyer - İstanbul"
MERSİN ÜNİVERSİTESİ,Devlet,Mersin,http://www.mersin.edu.tr/idari/genel-sekreterlik,assets/img/logo/119917.png,Mersin Üniversitesi Çiftlikköy Kampusu Rektörlük Binası 33343 Yenişehir/MERSİN
MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,Devlet,İstanbul,https://www.msgsu.edu.tr,assets/img/logo/120301.png,"Meclis-i Mebusan Caddesi No: 24
Fındıklı 34427 İstanbul"
MUDANYA ÜNİVERSİTESİ,Vakıf,Bursa,https://mudanya.edu.tr,assets/img/logo/442563.png,Çağrışan Mah. 2029 Sk. No:2 16265 Mudanya/Bursa
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,Devlet,Muğla,http://www.mu.edu.tr/,assets/img/logo/120444.png,Muğla Sıtkı Koçman Üniversitesi Rektörlüğü 48000 Menteşe/MUĞLA
MUNZUR ÜNİVERSİTESİ,Devlet,Tunceli,https://www.munzur.edu.tr,assets/img/logo/307919.png,Aktuluk Mahallesi Üniversite Yerleşkesi Merkez/TUNCELİ
MUŞ ALPARSLAN ÜNİVERSİTESİ,Devlet,Muş,https://www.alparslan.edu.tr,assets/img/logo/121164.png,"Muş Alparslan Üniversitesi Kampusu, Rektörlük, Diyarbakır Yolu 7. km 49250- MUŞ"
NECMETTİN ERBAKAN ÜNİVERSİTESİ,Devlet,Konya,http://www.erbakan.edu.tr,assets/img/logo/173500.png,Yaka Mah. Yeni Meram Cad. Kasım Halife Sok. No: 11 (A Blok) Posta Kodu: 42090 Meram / KONYA
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,Devlet,Nevşehir,http://www.nevsehir.edu.tr/,assets/img/logo/246224.png,"Nevşehir Hacı Bektaş Veli Üniversitesi Rektörlüğü 
2000 Evler Mahallesi Zübeyde Hanım Cad. 50300
NEVŞEHİR"
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,Devlet,Niğde,http://www.ohu.edu.tr/,assets/img/logo/306556.png,Niğde Ömer Halisdemir Üniversitesi Rektörlüğü Rektörlük Binası 2. Kat Merkez Yerleşke Bor Yolu Üzeri 51240 Merkez/NİĞDE
NUH NACİ YAZGAN ÜNİVERSİTESİ,Vakıf,Kayseri,http://www.nny.edu.tr,assets/img/logo/163891.png,Erkilet Dere Mah. Kuzey Çevreyolu Nuh Naci Yazgan Üniversitesi Kocasinan/Kayseri
ONDOKUZ MAYIS ÜNİVERSİTESİ,Devlet,Samsun,http://www.omu.edu.tr/,assets/img/logo/121946.png,"Ondokuz Mayıs Üniversitesi Rektörlük Binası 
Kurupelit Kampüsü, 55139 Atakum / SAMSUN"
ORDU ÜNİVERSİTESİ,Devlet,Ordu,http://www.odu.edu.tr,assets/img/logo/122395.png,Cumhuriyet Yerleşkesi 52200 Altınordu/ORDU
ORTA DOĞU TEKNİK ÜNİVERSİTESİ,Devlet,Ankara,http://www.metu.edu.tr,assets/img/logo/122571.png,Orta Doğu Teknik Üniversitesi Üniversiteler Mah.Dumlupınar Blv.No:1 06800 Çankaya Ankara/TÜRKİYE
OSMANİYE KORKUT ATA ÜNİVERSİTESİ,Devlet,Osmaniye,http://www.osmaniye.edu.tr,assets/img/logo/122735.png,"Karacaoğlan Yerleşkesi 80000
Merkez/OSMANİYE"
OSTİM TEKNİK ÜNİVERSİTESİ,Vakıf,Ankara,https://www.ostimteknik.edu.tr,assets/img/logo/324992.png,"OSTİM Teknik Üniversitesi OSTİM, 06374 Ankara"
ÖZYEĞİN ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.ozyegin.edu.tr,assets/img/logo/122827.png,Nişantepe Mah. Orman Sok. No:34-36 Çekmeköy-İstanbul
PAMUKKALE ÜNİVERSİTESİ,Devlet,Denizli,http://www.pau.edu.tr,assets/img/logo/122831.png,Pamukkale Üniversitesi Rektörlüğü Kınıklı Yerleşkesi 20070 DENİZLİ
PİRİ REİS ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.pirireis.edu.tr,assets/img/logo/136233.png,"Postane Mahallesi, Eflatun Sk. No:8, 34940 Tuzla/İSTANBUL"
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,Devlet,Rize,https://erdogan.edu.tr,assets/img/logo/123221.png,"Recep Tayyip Erdoğan Üniversitesi Zihni Derin Yerleşkesi, Fener Mah. 53100 RİZE"
SABANCI ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.sabanciuniv.edu,assets/img/logo/123400.png,Sabancı Üniversite Orta Mah. Üniversite Caddesi No:27 34956 Orhanlı Tuzla İstanbu
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,Devlet,İstanbul,http://www.sbu.edu.tr,assets/img/logo/270121.png,"Mekteb-i Tıbbiye-i Şahane (Haydarpaşa) Külliyesi, Selimiye Mah. Tıbbiye Cad. No:38 34668 ÜSKÜDAR/İSTANBUL"
SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,Devlet,Sakarya,https://www.subu.edu.tr,assets/img/logo/339988.png,Sakarya uygulamalı bilimler üniversitesi Esentepe Kampüsü Serdivan /Sakarya
SAKARYA ÜNİVERSİTESİ,Devlet,Sakarya,http://www.sakarya.edu.tr,assets/img/logo/123409.png,Sakarya Üniversitesi Esentepe Kampüsü 54187 Serdivan / SAKARYA
SAMSUN ÜNİVERSİTESİ,Devlet,Samsun,https://www.samsun.edu.tr,assets/img/logo/339989.png,Gürgenyatak Mahallesi Canik/SAMSUN
SANKO ÜNİVERSİTESİ,Vakıf,Gaziantep,http://www.sanko.edu.tr,assets/img/logo/241177.png,"İncilipınar Mah. Gazi Muhtar Paşa Bulv.                                               
No:36 27090 Şehitkamil/ GAZİANTEP"
SELÇUK ÜNİVERSİTESİ,Devlet,Konya,http://www.selcuk.edu.tr/,assets/img/logo/123902.png,"Alaaddin Keykubat Kampüsü, Akademi Mahallesi, Yeni İstanbul Caddesi No:369/1 42130
Selçuklu-KONYA"
SİİRT ÜNİVERSİTESİ,Devlet,Siirt,http://siirt.edu.tr,assets/img/logo/124703.png,Kezer Yerleşkesi Veysel Karani Mah. Üniversite Cad. No:1 56100 Merkez/SİİRT
SİNOP ÜNİVERSİTESİ,Devlet,Sinop,http://www.sinop.edu.tr ,assets/img/logo/124805.png,Korucuk Köyü Trafo Mahallesi No:36  57000 ? SİNOP
SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,Devlet,Sivas,http://www.sivas.edu.tr/,assets/img/logo/339990.png,Gültepe Mahallesi Mecnun Otyakmaz Caddesi No:1 Merkez/Sivas
SİVAS CUMHURİYET ÜNİVERSİTESİ,Devlet,Sivas,http://www.cumhuriyet.edu.tr,assets/img/logo/344737.png,"Cumhuriyet Üniversitesi, Yenişehşr Mah. Kayseri Caddesi 58140 Kampüs SİVAS"
SÜLEYMAN DEMİREL ÜNİVERSİTESİ,Devlet,Isparta,http://www.sdu.edu.tr/,assets/img/logo/124902.png,Süleyman Demirel Üniversitesi Batı Yerleşkesi Rektörlük Binası 32260  Çünür / ISPARTA
ŞIRNAK ÜNİVERSİTESİ,Devlet,Şırnak,http://www.sirnak.edu.tr,assets/img/logo/125536.png,"Yeni Mahalle Cizre Caddesi Mehmet Emin Acar Kampüsü
73000 Şırnak - Türkiye"
TARSUS ÜNİVERSİTESİ,Devlet,Mersin,https://www.tarsus.edu.tr,assets/img/logo/339991.png,Takbaş  Mah. Kartaltepe sokak 33400 Tarsus / MERSİN
TED ÜNİVERSİTESİ,Vakıf,Ankara,http://www.tedu.edu.tr,assets/img/logo/163892.png,"TED Üniversitesi, Ziya Gökalp Caddesi No.48 06420, Kolej Çankaya ANKARA"
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,Devlet,Tekirdağ,http://www.nku.edu.tr,assets/img/logo/356278.png,Namık Kemal Mah. Kampüs Cad. No:1 Merkez-TEKİRDAĞ
TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,Vakıf,Ankara,https://www.etu.edu.tr,assets/img/logo/125552.png,SÖĞÜTÖZÜ CADDESİ NO:43 ÇANKAYA/ANKARA
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,Devlet,Tokat,https://www.gop.edu.tr,assets/img/logo/367245.png,Gaziosmanpaşa Üniversitesi Rektörlüğü Taşlıçiftlik Yerleşkesi TOKAT
TOROS ÜNİVERSİTESİ,Vakıf,Mersin,https://www.toros.edu.tr,assets/img/logo/163889.png,Bahçelievler Kampüsü 1857 Sokak No:12 33140 Yenişehir MERSİN
TRABZON ÜNİVERSİTESİ,Devlet,Trabzon,https://www.trabzon.edu.tr,assets/img/logo/339992.png,"TRABZON ÜNİVERSİTESİ REKTÖRLÜĞÜ
Söğütlü Mahallesi
Adnan Kahveci Bulvarı
61335 – Akçaabat-Trabzon / TÜRKİYE"
TRAKYA ÜNİVERSİTESİ,Devlet,Edirne,http://www.trakya.edu.tr/,assets/img/logo/125577.png,Trakya Üniversitesi Rektörlüğü 22030 Balkan Yerleşkesi / EDİRNE
TÜRK HAVA KURUMU ÜNİVERSİTESİ,Vakıf,Ankara,http://www.thk.edu.tr,assets/img/logo/203267.png,Bahçekapı Mahallesi Okul Sokak No:11 Etimesgut / ANKARA
TÜRK-ALMAN ÜNİVERSİTESİ,Devlet,İstanbul,http://www.tau.edu.tr/,assets/img/logo/201784.png,Şahinkaya Cad. No: 86 Beykoz/İSTANBUL
UFUK ÜNİVERSİTESİ,Vakıf,Ankara,http://www.ufuk.edu.tr,assets/img/logo/125968.png,Ufuk Üniversitesi Rektörlüğü  Kızılcaşar Mahallesi İncek Bulvarı 06836 İncek/Gölbaşı/ANKARA
UŞAK ÜNİVERSİTESİ,Devlet,Uşak,http://www.usak.edu.tr,assets/img/logo/126537.png,Uşak Üniversitesi Rektörlüğü 1 Eylül Kampüsü  64200 - UŞAK
ÜSKÜDAR ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.uskudar.edu.tr,assets/img/logo/206795.png,Altunizade Mah.Haluk Türksoy Sok. No:14 Üsküdar/İstanbul
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,Devlet,Van,http://www.yyu.edu.tr/,assets/img/logo/337414.png,"Van Yüzüncü Yıl Üniversitesi Rektörlüğü, 65080, Kampüs / VAN"
YALOVA ÜNİVERSİTESİ,Devlet,Yalova,http://www.yalova.edu.tr/rektorluk,assets/img/logo/126742.png,Çınarcık Yolu 2.km Merkez Kampüsü Yalova
YAŞAR ÜNİVERSİTESİ,Vakıf,İzmir,http://www.yasar.edu.tr,assets/img/logo/126773.png,"Üniversite Cad., No.:35-37, Ağaçlı Yol, Bornova-İZMİR"
YEDİTEPE ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.yeditepe.edu.tr/,assets/img/logo/126818.png,26 Ağustos Yerleşimi.Kayışdağı Cad.34755 Ataşehir/İstanbul
YILDIZ TEKNİK ÜNİVERSİTESİ,Devlet,İstanbul,http://www.yildiz.edu.tr,assets/img/logo/126982.png,Davutpaşa Mah. Davutpaşa Cad. 34220 Esenler - İstanbul
YOZGAT BOZOK ÜNİVERSİTESİ,Devlet,Yozgat,http://www.bozok.edu.tr/,assets/img/logo/359730.png,Medrese Mahallesi Adnan Menderes Bulvarı No:118 66200 Yozgat
YÜKSEK İHTİSAS ÜNİVERSİTESİ,Vakıf,Ankara,https://Yüksek İhtisas Üniversitesi,assets/img/logo/206792.png,İşçi blokları mahallesi 1505. sokak Çankaya/ANKARA
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,Devlet,Zonguldak,https://www.beun.edu.tr,assets/img/logo/365890.png,"Zonguldak Bülent Ecevit Üniversitesi Rektörlüğü
İncivez-ZONGULDAK"
