ad,tur,sehir,website,logo,adres
AVRASYA ÜNİVERSİTESİ,Vakıf,Trabzon,http://www.avrasya.edu.tr,assets/img/logo/205351.png,"Avrasya Üniversitesi Rektörlüğü
Adnan Kahvesi Mah. Rize Caddesi
Pelitli/TRABZON"
AYDIN ADNAN MENDERES ÜNİVERSİTESİ,Devlet,Aydın,http://www.adu.edu.tr,assets/img/logo/364158.png,AYTEPE MEVKİ AYDIN
BAHÇEŞEHİR ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.bahcesehir.edu.tr,assets/img/logo/104140.png,"Çırağan Caddesi Osmanpaşa Mektebi Sokak No: 4-6 3453 Beşiktaş, İSTANBUL / TÜRKİYE"
BALIKESİR ÜNİVERSİTESİ,Devlet,Balıkesir,http://www.balikesir.edu.tr,assets/img/logo/104213.png,"Balıkesir Üniversitesi Çağış Yerleşkesi (Bigadiç yolu üzeri 17. km) 10145, BALIKESİR"
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,Devlet,Balıkesir,http://www.bandirma.edu.tr,assets/img/logo/274881.png,Yeni Mh. Şehit Astsubay Mustafa Soner Varlık Cd. No:77 Bandırma/BALIKESİR
BARTIN ÜNİVERSİTESİ,Devlet,Bartın,http://www.bartin.edu.tr/,assets/img/logo/104578.png,Bartın Üniversitesi Rektörlüğü Merkez/BARTIN
BAŞKENT ÜNİVERSİTESİ,Vakıf,Ankara,http://www.baskent.edu.tr,assets/img/logo/104628.png,"Bağlıca Kampüsü Fatih Sultan Mahallesi
Eskişehir Yolu 18.km TR 06790
Etimesgut Ankara"
BATMAN ÜNİVERSİTESİ,Devlet,Batman,http://www.batman.edu.tr,assets/img/logo/104803.png,"Batı Raman 72100 Batman, Türkiye"
BAYBURT ÜNİVERSİTESİ,Devlet,Bayburt,https://bayburt.edu.tr,assets/img/logo/104922.png,Dede Korkut Külliyesi 69000 / BAYBURT
BEYKOZ ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.beykoz.edu.tr,assets/img/logo/306383.png,Kavacık Mahallesi Orhan Veli Kanık Caddesi No:114 Kavacık Beykoz İstanbul
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.bezmialem.edu.tr/,assets/img/logo/163894.png,Adnan Menderes Bulvarı Vatan Cad. 34093 Fatih/İSTANBUL
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,Devlet,Bilecik,http://www.bilecik.edu.tr/,assets/img/logo/105024.png,Bilecik Şeyh Edebali Üniversitesi Rektörlüğü 11210 Merkez Bilecik
BİNGÖL ÜNİVERSİTESİ,Devlet,Bingöl,http://www.bingol.edu.tr,assets/img/logo/105196.png,Selahaddin-i Eyyübi Mah. Üniversite Cad. No:1 BİNGÖL
BİRUNİ ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.biruni.edu.tr/,assets/img/logo/251241.png,"10. Yıl Caddesi Protokol Yolu No: 45 (Eski Kozlu Mezarlığı altı, Silivrikapı ve Belgratkapı İett durakları arası) 34010 Topkapı İstanbul"
BİTLİS EREN ÜNİVERSİTESİ,Devlet,Bitlis,https://www.beu.edu.tr,assets/img/logo/105248.png,Rahva Yerleşkesi Beş Minare Mah. Ahmet Eren Bulvarı 13100 Merkez / Bitlis
BOĞAZİÇİ ÜNİVERSİTESİ,Devlet,İstanbul,http://www.boun.edu.tr,assets/img/logo/105322.png,"Boğaziçi Üniversitesi 
34342 Bebek/Istanbul Türkiye"
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Devlet,Bolu,http://www.ibu.edu.tr/,assets/img/logo/341799.png,Abant İzzet Baysal Üniversitesi Gölköy Kampüsü 14280 BOLU
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Devlet,Burdur,http://www.mehmetakif.edu.tr,assets/img/logo/355074.png,İstiklal Yerleşkesi BURDUR
BURSA TEKNİK ÜNİVERSİTESİ,Devlet,Bursa,http://btu.edu.tr/,assets/img/logo/173494.png,Mimar Sinan Mahallesi Mimar Sinan Bulvarı Eflak Caddesi No:177 16310 Yıldırım/BURSA
BURSA ULUDAĞ ÜNİVERSİTESİ,Devlet,Bursa,http://www.uludag.edu.tr/,assets/img/logo/362386.png,Görükle Kampusu 16059 Nilüfer/BURSA
ÇAĞ ÜNİVERSİTESİ,Vakıf,Mersin,http://www.cag.edu.tr/,assets/img/logo/106499.png,Adana-Mersin D 400 Karayolu Üzeri 33800 Yenice-Tarsus/MERSİN
